"ensembl_gene_id"	"hgnc_symbol"	"entrezgene"
"516"	"ENSG00000274225"	""	NA
"517"	"ENSG00000261497"	""	NA
"518"	"ENSG00000228709"	"LINC02575"	NA
"519"	"ENSG00000250497"	""	NA
"520"	"ENSG00000162699"	"DNAJA1P5"	NA
"521"	"ENSG00000277352"	""	NA
"522"	"ENSG00000272076"	""	NA
"523"	"ENSG00000123165"	"ACTRT1"	139741
"524"	"ENSG00000118733"	"OLFM3"	118427
"525"	"ENSG00000237334"	"HLA-Z"	NA
"526"	"ENSG00000260084"	""	NA
"527"	"ENSG00000276076"	""	102724652
"528"	"ENSG00000134440"	"NARS"	4677
"529"	"ENSG00000184939"	"ZFP90"	146198
"530"	"ENSG00000251424"	""	NA
"531"	"ENSG00000279365"	""	NA
"532"	"ENSG00000267214"	""	NA
"533"	"ENSG00000223741"	"PSMD4P1"	NA
"534"	"ENSG00000276097"	""	NA
"535"	"ENSG00000257237"	""	NA
"536"	"ENSG00000276231"	"PIK3R6"	146850
"537"	"ENSG00000105694"	"ELOCP28"	NA
"538"	"ENSG00000188452"	"CERKL"	375298
"539"	"ENSG00000233818"	""	NA
"540"	"ENSG00000147050"	"KDM6A"	7403
"541"	"ENSG00000258144"	"LINC02406"	NA
"542"	"ENSG00000230479"	""	NA
"543"	"ENSG00000149761"	"NUDT22"	84304
"544"	"ENSG00000270718"	""	NA
"545"	"ENSG00000238108"	""	NA
"546"	"ENSG00000271443"	""	NA
"547"	"ENSG00000254315"	""	NA
"548"	"ENSG00000231175"	"LINC01720"	440704
"549"	"ENSG00000236025"	""	NA
"550"	"ENSG00000164944"	"VIRMA"	25962
"551"	"ENSG00000120498"	"TEX11"	56159
"552"	"ENSG00000234661"	"CHL1-AS1"	101927193
"553"	"ENSG00000228803"	"MTCYBP42"	NA
"554"	"ENSG00000224318"	"CHL1-AS2"	101927174
"555"	"ENSG00000270209"	""	NA
"556"	"ENSG00000228020"	"HNRNPA1P46"	NA
"557"	"ENSG00000261642"	""	NA
"558"	"ENSG00000101448"	"EPPIN"	57119
"559"	"ENSG00000282498"	""	NA
"560"	"ENSG00000198284"	"NUP210P1"	255330
"561"	"ENSG00000270120"	""	NA
"562"	"ENSG00000261644"	""	NA
"563"	"ENSG00000234513"	""	NA
"564"	"ENSG00000274233"	"CCL5"	6352
"565"	"ENSG00000184530"	"C6orf58"	352999
"566"	"ENSG00000075223"	"SEMA3C"	10512
"567"	"ENSG00000229998"	"PPP1R18"	170954
"568"	"ENSG00000167207"	"NOD2"	64127
"569"	"ENSG00000280145"	""	NA
"570"	"ENSG00000134121"	"CHL1"	10752
"571"	"ENSG00000233963"	"ATP8A2P3"	NA
"572"	"ENSG00000211747"	"TRBV20-1"	NA
"573"	"ENSG00000234706"	"PRUNEP1"	NA
